featname;eeg/phy;what;channels;waveband;pearson_r;mi;lr coef;l1 coef;l2 coef;svm coef;rf importances;PCA
PSD P7(beta);eeg;PSD;P7;beta;0.0664738408381;0.0165970724392;0.0139482361003;0.0;0.0139037789696;0.00992141264046;0.00110112765296;0.0228555369055;
DE P7(alpha);eeg;DE;P7;alpha;0.0458572545855;0.0148571388781;0.000196501528645;0.0082374060512;0.000238981873877;0.0162701254776;0.00150384421131;0.0210687959842;
PSD P7(alpha);eeg;PSD;P7;alpha;0.0559355979395;0.0215319514867;0.00128295035861;0.000335898987475;0.00136705620961;0.0801739330087;0.00146455144084;0.0205735646655;
DE P7(gamma);eeg;DE;P7;gamma;0.0592195771025;0.0147154498631;0.0123090057937;0.0136481717565;0.0123645048085;0.0230515145936;0.00099330584728;0.0266661162976;
PSD P7(gamma);eeg;PSD;P7;gamma;0.0429229646864;0.0156602019776;0.00791833498013;0.0;0.00794642743781;0.030818651932;0.000950814392816;0.0274900835739;
DE P7(delta);eeg;DE;P7;delta;0.06908207524;0.0102684129238;0.00628518087006;0.00799619455197;0.0061815449984;0.0282358263924;0.0017024699756;0.0129206631346;
PSD P7(delta);eeg;PSD;P7;delta;0.0636526719336;0.0180275622197;0.000409975436985;0.0223034308394;0.000406780634041;0.0445079411398;0.00162224235462;0.0123239827469;
A/B PO3;eeg;AB;PO3;alpha & beta;0.0328760431035;0.0169006329077;0.00645822086134;0.0128044311384;0.00643465593272;0.0319536249559;0.00220919946245;0.0200822532437;
DE PO3(theta);eeg;DE;PO3;theta;0.10484389218;0.0166719114076;0.00553714729751;0.0140874407595;0.00552833156879;0.0129078507541;0.00134961665371;0.0271724518543;
PSD PO3(theta);eeg;PSD;PO3;theta;0.0828172131092;0.0298688421461;0.00686734155908;0.01922162551;0.00685266433181;0.0301271766656;0.00134906528383;0.0265554925191;
DE PO3(beta);eeg;DE;PO3;beta;0.076999300106;0.0151622325733;0.0111411865802;0.0065556807287;0.0111132663401;0.0163163081492;0.00100601165037;0.0229792849814;
PSD PO3(beta);eeg;PSD;PO3;beta;0.0676901404548;0.0252964968166;0.00516938765899;0.00849582312485;0.00516789954153;0.00760722425901;0.00101024060846;0.0219021132873;
DE PO3(alpha);eeg;DE;PO3;alpha;0.066077589862;0.0159708814436;0.0137171211871;0.014641910291;0.013677230152;0.0479260692776;0.00162960093666;0.0234155130036;
PSD PO3(alpha);eeg;PSD;PO3;alpha;0.0627567302538;0.0216713144934;0.0151504752675;0.015036717456;0.0151289653497;0.0613566435991;0.00152185995063;0.0222786004513;
DE PO3(gamma);eeg;DE;PO3;gamma;0.0607732276993;0.0158021513566;0.0142954481032;0.00545502003575;0.0142966231042;0.01587843183;0.00111907388317;0.0293196886553;
PSD PO3(gamma);eeg;PSD;PO3;gamma;0.0456756571862;0.0220741278835;0.00511077457703;0.009359499103;0.00513239239916;0.0332945268841;0.00129774800797;0.0294408591792;
